Rank,Brand,Bucket,Priority,Score,Source tags,Suggested incumbents to conquest,Suggested buyer titles,Outreach hook,Website,Contact Names,Contact Titles,Contact Links,Tagline,Description
26,Juni,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Juni as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://drinkjuni.com,Friendship Beverage,Parent Company,https://www.friendshipbeverage.com/,"Sparkling Adaptogen Drink with Ashwagandha, Lion's Mane & Reishi Mushrooms","Juni specializes in the development and production of functional beverages that combine traditional tea ingredients with modern wellness supplements. Their products include sparkling adaptogen drinks designed for focus and wellness, featuring organic ingredients with zero sugar."
27,Love Corn,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Love Corn as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.lovecorn.com,Nick Dickson,Helping businesses pivot towards their goals,https://uk.linkedin.com/in/nickdickson,Delicious Crunchy Corn Snack,"LOVE CORN is a crunchy snack brand that produces snacks made from whole corn kernels, sunflower oil, and natural seasonings. Their products are gluten-free, vegan, kosher, low in calories and sugar, and non-GMO."
28,Magic Spoon,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Magic Spoon as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://magicspoon.com,Gabi Lewis | Shane Callahan | John Shucavage | Jason Moloff,Co-founder | Director of Shopper Marketing | VP Costco & Sales Planning | Brand Marketing & Innovation Leader,https://www.tasteradio.com/episodes/why-magic-spoons-product-first-strategy-drove-its-success | https://www.linkedin.com/in/shanecallahan | https://www.linkedin.com/in/john-shucavage | https://www.linkedin.com/in/jasonmoloff,"High-protein, keto-friendly cereal with 0g sugar.","Magic Spoon is a high-protein, keto-friendly, and gluten-free cereal brand reimagining childhood favorites for a modern audience. The company focuses on a product-first strategy in the CPG space, offering low-carb, zero-sugar alternatives to traditional breakfast cereals and snacks."
29,MaryRuth's,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present MaryRuth's as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.maryruthorganics.com/,Yingying Kuang | Karen Trice,VP of Marketing | Director of Shopper Marketing,https://www.linkedin.com/in/yingyingkuang | https://www.linkedin.com/in/karentrice,Vegan Liquid Vitamins & Supplements,"MaryRuth Organics is a health and wellness brand specializing in vegan, non-GMO, and gluten-free vitamins and supplements. The company offers a wide range of products including liquid multivitamins, gummy vitamins, and innovative dissolvable supplement strips designed for infants, toddlers, kids, and adults. Their mission focuses on making wellness products and health education simple and approachable through clean-label ingredients and direct-to-consumer accessibility."
30,Mid-Day Squares,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Mid-Day Squares as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.middaysquares.com/,Liah Gill | Julian Murray,VP Marketing | Marketing Professional | Shopper Marketing,https://ca.linkedin.com/in/liah-gill-21498b91 | https://ca.linkedin.com/in/julian-murray-58b51b1a,Stop hunger and cravings with protein‑packed squares.,"Mid‑Day Squares is a chocolate manufacturer and the creator of the first functional chocolate bar. Their products are designed to curb hunger or cravings between meals, delivering protein, fiber, and flavor in a convenient snack bar format. The brand’s flagship No Bread PB&J and other snack bars are available nationwide, including at Target."
31,Nulo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nulo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://ec.linkedin.com/company/nulopetfood/?trk=organization-update_share-update_actor-text,,,,"Nulo stands at the forefront of pet nutrition, dedicated to providing foods that fuel a healthy lifestyle for pets and their parents.","Nulo Pet Food is one of the fastest growing premium pet food brands in the United States, offering a range of high‑quality dog and cat foods designed to support a healthy lifestyle for pets and their owners. The company focuses on science‑backed nutrition, innovative formulations, and a strong e‑commerce presence, and recently secured a strategic growth investment from Main Post to accelerate its expansion. Nulo operates across multiple channels including direct‑to‑consumer e‑commerce, retail, and wholesale, positioning itself as a leader in the consumer packaged goods (CPG) pet nutrition market."
32,Nurri,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nurri as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.nurri.com,,,,Protein-packed drinks for active lifestyles.,"Nurri is a consumer packaged goods brand that offers protein-infused beverages, including ultra-filtered milk shakes and coffee creamers, designed to support fitness and wellness. The brand focuses on clean ingredients, high protein content, and convenient formats for on-the-go consumers."
33,Oats Overnight,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Oats Overnight as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.oatsovernight.com,Karen Trice,"Sr. Manager, Shopper & Retail Marketing",https://www.linkedin.com/in/karentrice,"Nutritious, Delicious, Convenient Oatmeal","Founded in 2016, Oats Overnight is a leading provider of high-protein, spoon-free breakfast solutions. The company specializes in healthy oatmeal packs designed for 'breakfast beyond the bowl' with a focus on whole grains and a wide variety of flavors."
34,Power Up,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Power Up as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://powerupfoods.com,,,,Caffeinated snacks that power your day.,"Power Up Foods is a consumer‑packaged goods brand that creates vegan, gluten‑free, and keto‑friendly caffeinated snacks. Their flagship products include a line of caffeinated cookies and brownies, as well as protein‑rich donuts and other high‑energy treats. The brand has gained traction through direct‑to‑consumer sales and a rapid retail expansion, launching in 125 Urban Outfitters stores nationwide in 2022 and partnering with other retailers to bring their energizing snacks to a broader audience."
35,Pretzelized,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Pretzelized as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://pretzelized.com,,,,"Disrupting the pretzel category with bold, crunchy flavors","Pretzelized is a fast‑growing snack brand launched by 7 Mile Brands in April 2024. The company blends the classic pretzel crunch with the versatility of crackers and pita chips, offering Pretzel Crackers and Pretzel Pita Chips that have already secured shelf space in 15,000 retail locations across the United States. In addition to its retail presence, Pretzelized has expanded into the foodservice market with a new 2‑ounce single‑serve pretzel snackers line, positioning itself as a disruptive force in the snack industry."
36,Purely Elizabeth,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Purely Elizabeth as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://purelyelizabeth.com,Elizabeth Stein | Cara Scovazzo,Founder and CEO | Former Director Of Ecommerce,https://www.linkedin.com/in/elizabeth-stein-3a1b1b1 | https://www.linkedin.com/in/carascovazzo,"Nutritious, high‑quality breakfast foods and snacks","Purely Elizabeth is a natural foods company that creates high‑quality, nutrient‑dense breakfast foods, snacks, and baking products. Founded by Elizabeth Stein, the brand has built a reputation around granola and oatmeal for 17 years and has recently expanded into limited‑edition beauty‑focused products. The company emphasizes clean ingredients, bold flavors, and a commitment to health‑conscious consumers."
37,Rebel,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Rebel as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.rebelcpg.com/,Liv Rebel | Korlin Serauskis | Kristin Schweitzer | Gui Selles,VP of Growth & Partnerships | Vice President of Marketing | Vice President of Sales | CPG | Marketing Operations Specialist,https://www.linkedin.com/in/olivia-rubina-rebeles | https://www.linkedin.com/in/korlin-serauskis-60603759 | https://www.linkedin.com/in/kristin-schweitzer-2491495 | https://ca.linkedin.com/in/guiselles,Canadian Food Product Commercialization Expert,"REBEL CPG provides expert food science and CPG commercialization mentorship in Canada, guiding brands through the entire process from initial recipe development to creating retail-ready products."
38,Recess,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Recess as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.recess.is/,Shaun Brown | Monnica Farag | Andy Cooper,"CEO & Founder | VP, Growth | Senior Account Director",https://www.linkedin.com/in/shaun-brown-ba09003 | https://www.linkedin.com/in/monnicafarag | https://www.linkedin.com/in/andrewscooper5,Sampling & Brand Activation Platform for CPG brands,Recess is a purpose-built brand activation platform designed for CPG marketers to discover unique experiential brand partnerships and sampling opportunities. The platform streamlines the process of marketing and acquiring customers through data-driven audience targeting and performance-focused sampling campaigns.
39,Righteous Felon,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Righteous Felon as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.righteousfelon.com,,,,"Bold, American‑made beef jerky crafted for flavor seekers.","Righteous Felon is a leading American craft jerky company that specializes in high‑quality beef jerky and meat snacks. With over 16 bold and innovative flavors—including the recent Honey Heist BBQ launch—the brand delivers a diverse range of savory, sweet‑and‑salty, and spicy options. Backed by GroundForce Capital, Righteous Felon focuses on artisanal production, natural ingredients, and a strong direct‑to‑consumer presence, positioning itself as a premium choice for snack enthusiasts nationwide."
40,Roots Farm Fresh,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Roots Farm Fresh as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://rootsfarmfresh.com,,,,"Revolutionizing comfort food with seed‑oil‑free, upcycled organic fries.","Roots Farm Fresh, founded in 2022, is a consumer‑packaged‑goods brand that delivers premium, upcycled, seed‑oil‑free fries made from USDA‑Organic sweet and white potatoes. The brand’s products are gluten‑free, vegan, and free from the top nine allergens, using avocado oil for a healthier alternative to traditional seed oils. With a focus on sustainability, Roots Farm Fresh sources surplus potatoes, reduces food waste, and offers a line of waffle‑style fries that combine convenience with a commitment to clean, plant‑based ingredients."
41,Sanzo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Sanzo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.bevnet.com/brands/sanzo,,,,First Asian-inspired sparkling water brand made with real fruit and no added sugar.,"Sanzo is a pioneering sparkling water brand that blends authentic Asian flavors with real fruit extracts, delivering a refreshing beverage experience without any added sugars. Their flagship line celebrates high‑quality Asian ingredients, offering a range of naturally flavored sparkling waters that cater to health‑conscious consumers seeking unique, guilt‑free hydration options."
42,Scott & Jon's,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Scott & Jon's as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://scottandjons.com/,Scott Demers | Jon Demers,Co-Founder | Co-Founder,Not provided | Not provided,Satisfy your urge to seafood,"Scott & Jon's specializes in premium frozen seafood meals, offering a range of shrimp and salmon bowls designed for convenience and nutrition. Originally founded as Scott & Jon's by Cheating Gourmet, the brand focuses on irresistibly delicious and amazingly quick meals made from premium ingredients."
43,SkinnyDipped,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present SkinnyDipped as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,http://www.nosh.com/brands/skinnydipped-almonds,Rachel Kusin,Marketing Director,https://www.linkedin.com/in/rachelkusin,Better-for-you snacks and confections,"SkinnyDipped is a female-founded company launched in 2016 that specializes in creating low-sugar, better-for-you snacks. The brand is known for its thin-dipped nuts and chocolate bites, focusing on providing healthier alternatives in the confection and nut category."
44,Solely,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Solely as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,http://www.nosh.com/brands/solelyfruit,Nigel Blackhall,VP eCommerce & Sales,https://www.linkedin.com/in/nigelblackhall,"Rethinking every step of how food is developed, grown, sourced, processed, and sold.","Solely is an innovative, people-driven clean food company that specializes in creating organic, clean-label fruit snacks with minimal ingredients. They are recognized as a fast-growing emerging brand in the CPG industry."
45,Somos,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Somos as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://eatsomos.com/,Ricardo Coulson,Shopper Marketing Manager,https://co.linkedin.com/in/ricardo-coulson-osorio,Authentic Mexican food made plant‑based and ready in ten minutes,"SOMOS Foods delivers Mexican cuisine with authentic recipes crafted from plant‑based, Non‑GMO ingredients. Their product line includes tacos, tostadas, nachos, chilaquiles, and a meal‑kit format that lets consumers assemble a variety of entrees and staples in just ten minutes. The brand emphasizes convenience, health, and sustainability while staying true to traditional Mexican flavors."
46,The Good Crisp Company,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present The Good Crisp Company as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.instagram.com/thegoodcrispcompany/?hl=en,,,,"A better-for-everyone, gluten free snack company.","The Good Crisp Company is a clean‑label, gluten‑free snack brand that produces a range of salty chips and snacks. Their products are sold in over 20,000 retail doors across the United States, Canada, Australia, and the United Kingdom, and the company is actively expanding its presence in the U.S. market. Known for high‑quality ingredients and a commitment to better-for-everyone nutrition, The Good Crisp Company offers a portfolio of flavorful, responsibly sourced chips that appeal to health‑conscious consumers."
47,wildwonder,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present wildwonder as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://drinkwildwonder.com,Rosa Li,Founder and CEO,Not provided,The world's first sparkling prebiotic + probiotic beverage,"Wildwonder specializes in creating sparkling prebiotic and probiotic beverages that support gut and immune health. Their products are organic, vegan, and low in sugar, merging flavor, function, and heritage."
48,BARIS,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present BARIS as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://everybaris.com/,,,,The Perfect Frozen Treat,"BARIS is a premium frozen treat brand that offers hand‑picked raspberries sourced from Patagonia, dipped in double chocolate and other premium coatings. The brand positions itself as a better‑for‑you snack, combining real fruit with indulgent chocolate for a guilt‑free treat. BARIS has recently launched nationwide at Sprouts Farmers Markets, expanding its flavor lineup to include a matcha‑infused variant."
49,BUBLUV,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present BUBLUV as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://bubluv.com/,,,,"With less than 50 calories and no added sugar, BUBLUV Bubble Tea® frees you to drink boba that tastes amazing, without the guilt!","BUBLUV is a consumer packaged goods brand that specializes in ready‑to‑drink, shelf‑stable bubble tea. Their flagship product line offers a better‑for‑you experience with less than 50 calories, no added sugar, and a plant‑based milk option. Distributed through major retailers such as Albertsons, Target, and Giant Food, BUBLUV provides a convenient, guilt‑free boba experience for health‑conscious consumers."
50,Day Out Snacks,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Day Out Snacks as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://dayoutsnacks.com,,,,"Dessert-inspired, plant‑based protein balls for on‑the‑go nutrition.","Day Out Snacks, formerly known as Protein Power Ball, is a pioneering health snack company dedicated to crafting delicious, plant‑based protein balls that taste like dessert. Using clean, plant‑based ingredients, the brand offers convenient, high‑protein snacks designed for active lifestyles, workouts, travel, and everyday snacking."
51,Eat Happy Kitchen,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Eat Happy Kitchen as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://eathappykitchen.com,Anna Vocino,Founder,https://www.linkedin.com/in/annavocino,"All Natural, All Delicious","Eat Happy Kitchen is a woman-owned natural food manufacturing company founded by Anna Vocino, author of the bestselling Eat Happy cookbook series. The brand specializes in gourmet organic sauces, spice mixes, and dressings that contain no added sugar and are gluten-free. In 2025, the company expanded its product line into the snack category with sugar-free, filler-free, high-protein cheese bites, further positioning itself as a premium pantry and snack brand. With a national retail footprint that now includes nearly 500 stores, Eat Happy Kitchen continues to grow its presence across grocery, wholesale, and e-commerce channels."
52,GEEM,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present GEEM as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://eatgeem.com/,Candice Choi,Founder,https://www.linkedin.com/posts/candicejchoi_geem-is-now-in-all-whole-foods-midwest-activity-7353452796752326657-UGlU,Join the Seaweed Revolution,"Geem offers Korean seaweed snacks with a Western twist, focusing on modern takes on traditional recipes that are sustainable and healthy."
53,Growee Foods,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Growee Foods as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://groweefoods.com,Aman Blana,Founder,https://startupcpg.com/blog/founder-feature-aman-blana-of-growee-foods/,Bold dips. Mild regrets. Globally seasoned.,"Growee Foods is a plant-based, all-natural dip and spread company based in Atlanta, GA. Their products are crafted from fresh vegetables, seeds, and spices, and are available in three globally inspired, award-winning flavors. The brand focuses on increasing freshness in the dips and salsa category and partners with retailers such as Whole Foods, Fresh Thyme, Faire Wholesale, FreshDirect, and Deciccos."
54,Holy! Water,Beverage,A,5,Startup CPG Expo West 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Holy! Water with a rebate — pay only on receipt-verified purchase.",https://enjoyholywater.com,,,,"Premium functional tonics blending adaptogens, nootropics, and mushrooms","Holy! Water is a female‑founded, PhD‑led functional beverage brand that creates premium tonics combining adaptogens, nootropics, functional mushrooms, and ketones. The drinks are designed as clean, effective alternatives to caffeine, energy drinks, and alcohol, offering mindful wellness benefits in a flavorful, functional format."
55,Hotpot Queen,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Hotpot Queen as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://hotpotqueen.com,,,,Delicious and Authentic Chinese Sauces and Noodles,"Hotpot Queen is a Seattle‑based brand that delivers a mouth‑watering range of authentic Chinese sauces, noodles, and hotpot kits crafted with the freshest ingredients. Their product line includes signature sauces such as Chongqing Chili Crisp, Sichuan Spicy Hotpot Soup Base, and mushroom‑infused hotpot kits, all designed to bring the vibrant flavors of China to home kitchens."
56,House of Kajaana,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present House of Kajaana as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.houseofkajaana.com,Sabah Ashraf,Founder,https://www.linkedin.com/in/sabahashraf,Dinner decisions on auto-pilot.,"Founded in 2021, House of Kajaana is a premium frozen food brand specializing in high-quality, plant-forward Indian meals. The company focuses on modernizing the frozen aisle with carefully crafted dishes made from high-quality ingredients."
57,Häppy Candy,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Häppy Candy as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://happycandy.com,Maxi Heidenblut,Founder,https://startupcpg.transistor.fm/episodes/founder-feature-maxi-heidenblut-of-happy-candy/transcript,Better-for-you gummies with 70% less sugar,"Häppy Candy creates healthier gummy candies that contain 70% less sugar than traditional gummies, using natural flavors and colors while rejecting alternative sweeteners. The brand focuses on providing indulgent treats that are kinder to the body, appealing to consumers who want a guilt‑free snacking experience."
58,KOKONUT,Snack / Grocery,A,5,Startup CPG Expo West 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present KOKONUT as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.kokonutdessert.com,Jiahuizi Xiong,Co-founder,https://www.facebook.com/KlimsonLogisticsSolutions/posts/together-talks-178-kokonutdessert-and-co-founder-jiahuizi-xionga-really-fun-conv/122209847306099494/,Curating moments of guiltless escapes,"KOKONUT offers premium, plant-based coconut desserts inspired by rich Asian flavors. Their products include vegan, gluten-free puddings that deliver a creamy texture and authentic taste."
